,SP500_MM_30,BOVESPA_MM_30,OURO_MM_30,PETROLEO_MM_30,FERRO_MM_30,DOLAR_MM_30,SELIC_MM_30,VALE_MM_30,SP500_FECHAMENTO_ANTERIOR,BOVESPA_FECHAMENTO_ANTERIOR,OURO_FECHAMENTO_ANTERIOR,PETROLEO_FECHAMENTO_ANTERIOR,FERRO_FECHAMENTO_ANTERIOR,DOLAR_FECHAMENTO_ANTERIOR,SELIC_FECHAMENTO_ANTERIOR,VALE_FECHAMENTO_ANTERIOR,RESULTADO
1797,2734.6603333333333,78985.66666666667,1397.7099934895834,76.95166702270508,66.11133270263672,3.6879433393478394,6.5,50.66866683959961,2773.75,69815.0,1371.5,75.34,65.3,3.7537,6.5,47.83,1
1798,2737.966,78594.86666666667,1396.206660970052,76.9586669921875,66.04566599527995,3.6954700072606403,6.5,50.62333348592122,2762.59,71394.0,1369.6,75.08,65.01,3.756,6.5,46.95,1
1799,2741.1223333333332,78241.83333333333,1394.5899943033853,76.9110003153483,65.98966598510742,3.7017266670862834,6.5,50.6093334197998,2767.32,72123.0,1365.7,74.74,65.01,3.7329,6.5,47.44,1
1800,2743.7169999999996,77812.46666666666,1392.8433268229167,76.8510004679362,65.92099939982096,3.70874666372935,6.5,50.54533335367839,2749.76,70075.0,1361.4,73.05,64.93,3.7888,6.5,45.89,6
1801,2745.6200000000003,77358.33333333333,1391.1333251953124,76.7956672668457,65.87733281453451,3.714480002721151,6.5,50.47266667683919,2754.88,70641.0,1361.7,75.55,64.89,3.7657,6.5,46.66,6
1802,2745.4199999999996,76861.4,1389.0499918619792,76.70433400472005,65.82366612752278,3.72179000377655,6.5,50.3353333791097,2717.07,70953.0,1359.6,74.73,64.88,3.7754,6.5,45.84,6
1803,2745.2646666666665,76400.9,1386.7033243815104,76.67733383178711,65.73766632080078,3.7284733374913532,6.5,50.196333440144855,2723.06,71405.0,1350.0,76.31,64.91,3.7715,6.5,46.99,6
1804,2744.248,75913.46666666666,1384.289990234375,76.65700047810873,65.64633305867513,3.7360100030899046,6.5,49.998000081380205,2699.63,70609.0,1345.5,77.62,64.85,3.8352,6.5,46.8,6
1805,2744.4100000000003,75468.03333333334,1382.629988606771,76.63766708374024,65.55399958292644,3.7419033368428547,6.5,49.8173334757487,2716.31,71767.0,1340.0,77.85,64.81,3.8515,6.5,47.7,6
1806,2744.273666666667,75008.9,1381.0166544596354,76.64300053914388,65.4706662495931,3.7477533419926963,6.5,49.613000106811526,2718.37,72763.0,1343.7,79.44,64.8,3.8552,6.5,48.2,1
1807,2744.493,74649.5,1379.0066528320312,76.5763338724772,65.36633275349935,3.7550233443578085,6.5,49.398333358764646,2726.71,72840.0,1329.7,77.3,64.13,3.9049,6.5,47.39,1
1808,2744.501333333333,74335.7,1377.3699829101563,76.55133387247722,65.26833267211914,3.7597466786702474,6.5,49.177666600545244,2713.22,73668.0,1342.2,77.76,64.09,3.8914,6.5,46.62,6
